code,ballot,party,votes
WC,P,PJC,630
WC,P,UCDP,1552
WC,P,UDM,14013
WC,P,UIF,1178
WC,P,UP,599
WC,P,VF+,8384
CPT,N,ACDP,23400
CPT,N,AFD,88
CPT,N,AJ,9309
CPT,N,ANC,442827
CPT,N,AP,252
CPT,N,APC,920
CPT,N,AZAPO,867
CPT,N,CDA,2883
CPT,N,COPE,117222
CPT,N,DA,685755
CPT,N,GKSA,363
CPT,N,ID,37245
CPT,N,IFP,851
CPT,N,KISS,332
CPT,N,MDP,465
CPT,N,MF,225
CPT,N,NADECO,337
CPT,N,NVP,199
CPT,N,PAC,4062
CPT,N,PAM,486
CPT,N,SADECO,99
CPT,N,UCDP,882
CPT,N,UDM,11397
CPT,N,UIF,646
CPT,N,VF+,7391
CPT,N,WF,259
CPT,P,ACDP,20827
CPT,P,AJ,8564
CPT,P,AMP,4066
CPT,P,ANC,411122
CPT,P,APC,829
CPT,P,AZAPO,736
CPT,P,CAPE,1441
CPT,P,CDA,3065
CPT,P,COPE,94007
CPT,P,DA,706537
CPT,P,ID,38261
CPT,P,IFP,708
CPT,P,NA,1032
CPT,P,NADECO,203
CPT,P,NP,2084
CPT,P,PAC,3711
CPT,P,PJC,453
CPT,P,UCDP,1034
CPT,P,UDM,10293
CPT,P,UIF,666
CPT,P,UP,449
CPT,P,VF+,3414
DC1,N,ACDP,1110
DC1,N,AFD,22
DC1,N,AJ,83
DC1,N,ANC,30408
DC1,N,AP,21
DC1,N,APC,146
DC1,N,AZAPO,65
DC1,N,CDA,108
DC1,N,COPE,11128
DC1,N,DA,50311
DC1,N,GKSA,61
DC1,N,ID,13020
DC1,N,IFP,53
DC1,N,KISS,83
DC1,N,MDP,109
DC1,N,MF,36
DC1,N,NADECO,62
DC1,N,NVP,32
DC1,N,PAC,78
DC1,N,PAM,15
DC1,N,SADECO,22
DC1,N,UCDP,58
DC1,N,UDM,617
DC1,N,UIF,40
DC1,N,VF+,1594
DC1,N,WF,18
DC1,P,ACDP,935
DC1,P,AJ,72
DC1,P,AMP,51
DC1,P,ANC,28559
DC1,P,APC,156
DC1,P,AZAPO,70
DC1,P,CAPE,144
DC1,P,CDA,132
DC1,P,COPE,10044
DC1,P,DA,51458
DC1,P,ID,13036
DC1,P,IFP,65
DC1,P,NA,164
DC1,P,NADECO,39
DC1,P,NP,205
DC1,P,PAC,83
DC1,P,PJC,16
DC1,P,UCDP,59
DC1,P,UDM,551
DC1,P,UIF,53
DC1,P,UP,23
DC1,P,VF+,718
DC10,N,ACDP,1262
DC10,N,AFD,46
DC10,N,AJ,43
DC10,N,ANC,105941
DC10,N,AP,34
DC10,N,APC,326
DC10,N,AZAPO,721
DC10,N,CDA,129
DC10,N,COPE,19927
DC10,N,DA,39702
DC10,N,GKSA,78
DC10,N,ID,1778
DC10,N,IFP,103
DC10,N,KISS,63
DC10,N,MDP,254
DC10,N,MF,50
DC10,N,NADECO,96
DC10,N,NVP,58
DC10,N,PAC,568
DC10,N,PAM,41
DC10,N,SADECO,29
DC10,N,UCDP,88
DC10,N,UDM,658
DC10,N,UIF,50
DC10,N,VF+,1522
DC10,N,WF,36
DC10,P,ACDP,1007
DC10,P,AIC,1195
DC10,P,ANC,103832
DC10,P,APC,239
DC10,P,AZAPO,747
DC10,P,CDA,165
DC10,P,COPE,20476
DC10,P,DA,38024
DC10,P,ID,1677
DC10,P,IFP,105
DC10,P,NADECO,149
DC10,P,NVP,93
DC10,P,PAC,581
DC10,P,PAM,60
DC10,P,UCDP,117
DC10,P,UDM,750
DC10,P,VF+,969
DC12,N,ACDP,4738
DC12,N,AFD,99
DC12,N,AJ,140
DC12,N,ANC,453506
DC12,N,AP,78
DC12,N,APC,1527
DC12,N,AZAPO,1088
DC12,N,CDA,701
DC12,N,COPE,103334
DC12,N,DA,41974
DC12,N,GKSA,246
DC12,N,ID,1392
DC12,N,IFP,364
DC12,N,KISS,106
DC12,N,MDP,634
DC12,N,MF,143
DC12,N,NADECO,268
DC12,N,NVP,163
DC12,N,PAC,4902
DC12,N,PAM,673
DC12,N,SADECO,122
DC12,N,UCDP,457
DC12,N,UDM,22508
DC12,N,UIF,320
DC12,N,VF+,652
DC12,N,WF,62
DC12,P,ACDP,4447
DC12,P,AIC,3877
DC12,P,ANC,439644
DC12,P,APC,1157
DC12,P,AZAPO,1147
DC12,P,CDA,449
DC12,P,COPE,103903
DC12,P,DA,40991
DC12,P,ID,1311
DC12,P,IFP,417
DC12,P,NADECO,473
DC12,P,NVP,226
DC12,P,PAC,4893
DC12,P,PAM,740
DC12,P,UCDP,592
DC12,P,UDM,22779
DC12,P,VF+,548
DC13,N,ACDP,1123
DC13,N,AFD,73
DC13,N,AJ,75
DC13,N,ANC,212317
DC13,N,AP,44
DC13,N,APC,1412
DC13,N,AZAPO,400
DC13,N,CDA,289
DC13,N,COPE,35151
DC13,N,DA,11294
DC13,N,GKSA,166
DC13,N,ID,226
DC13,N,IFP,403
DC13,N,KISS,66
DC13,N,MDP,386
DC13,N,MF,92
DC13,N,NADECO,140
DC13,N,NVP,95
DC13,N,PAC,1980
DC13,N,PAM,614
DC13,N,SADECO,67
DC13,N,UCDP,218
DC13,N,UDM,9789
DC13,N,UIF,315
DC13,N,VF+,518
DC13,N,WF,42
DC13,P,ACDP,962
DC13,P,AIC,2160
DC13,P,ANC,202390
DC13,P,APC,1125
DC13,P,AZAPO,379
DC13,P,CDA,156
DC13,P,COPE,35052
DC13,P,DA,10874
DC13,P,ID,236
DC13,P,IFP,463
DC13,P,NADECO,273
DC13,P,NVP,133
DC13,P,PAC,2005
DC13,P,PAM,648
DC13,P,UCDP,266
DC13,P,UDM,9816
DC13,P,VF+,435
DC14,N,ACDP,568
DC14,N,AFD,34
DC14,N,AJ,35
DC14,N,ANC,91238
DC14,N,AP,34
DC14,N,APC,453
DC14,N,AZAPO,250
DC14,N,CDA,54
DC14,N,COPE,11145
DC14,N,DA,4955
DC14,N,GKSA,127
DC14,N,ID,151
DC14,N,IFP,113
DC14,N,KISS,38
DC14,N,MDP,227
DC14,N,MF,49
DC14,N,NADECO,78
DC14,N,NVP,81
DC14,N,PAC,898
DC14,N,PAM,50
DC14,N,SADECO,33
