code,ballot,winner,valid,spoilt
GT423,N,ANC,35975,431
GT423,P,ANC,35074,397
GT461,N,ANC,25810,308
GT461,P,ANC,24198,232
GT462,N,ANC,55986,537
GT462,P,ANC,50109,482
GT481,N,ANC,137170,1420
GT481,P,ANC,129548,1410
GT482,N,ANC,56556,681
GT482,P,ANC,54992,635
GT483,N,ANC,36204,597
GT483,P,ANC,33327,488
GT484,N,ANC,69692,846
GT484,P,ANC,65589,712
GTDMA48,N,ANC,1901,34
GTDMA48,P,ANC,1776,36
KZN211,N,ANC,27755,536
KZN211,P,ANC,27732,461
KZN212,N,ANC,29133,476
KZN212,P,ANC,27944,447
KZN213,N,ANC,52356,889
KZN213,P,ANC,52104,774
KZN214,N,ANC,27800,543
KZN214,P,ANC,27514,463
KZN215,N,ANC,17048,331
KZN215,P,ANC,16958,299
KZN216,N,ANC,100487,1271
KZN216,P,ANC,96641,1185
KZN221,N,ANC,38178,559
KZN221,P,ANC,38091,423
KZN222,N,ANC,35404,282
KZN222,P,ANC,34967,291
KZN223,N,ANC,11727,175
KZN223,P,ANC,11640,147
KZN224,N,ANC,11396,186
KZN224,P,ANC,11417,128
KZN225,N,ANC,227432,2256
KZN225,P,ANC,226019,2224
KZN226,N,ANC,21755,384
KZN226,P,ANC,21491,322
KZN227,N,ANC,22754,321
KZN227,P,ANC,22677,278
KZN232,N,ANC,76950,923
KZN232,P,ANC,75814,926
KZN233,N,IFP,29163,395
KZN233,P,IFP,28533,370
KZN234,N,ANC,25687,329
KZN234,P,IFP,25387,297
KZN235,N,ANC,37721,759
KZN235,P,ANC,36957,729
KZN236,N,ANC,33441,659
KZN236,P,ANC,33229,598
KZN241,N,ANC,18010,320
KZN241,P,ANC,17807,280
KZN242,N,IFP,44786,813
KZN242,P,IFP,43644,796
KZN244,N,IFP,51689,773
KZN244,P,IFP,50713,685
KZN245,N,ANC,31858,615
KZN245,P,ANC,31584,567
KZN252,N,ANC,107270,1781
KZN252,P,ANC,105332,1698
KZN253,N,ANC,8257,238
KZN253,P,ANC,8145,195
KZN254,N,ANC,28734,510
KZN254,P,ANC,28173,514
KZN261,N,IFP,22533,407
KZN261,P,IFP,21922,379
KZN262,N,ANC,36094,547
KZN262,P,IFP,35500,444
KZN263,N,ANC,60738,805
KZN263,P,IFP,59931,726
KZN265,N,IFP,59078,758
KZN265,P,IFP,57993,661
KZN266,N,IFP,64276,541
KZN266,P,IFP,63213,487
KZN271,N,ANC,45631,983
KZN271,P,ANC,45612,828
KZN272,N,IFP,55255,751
KZN272,P,IFP,54933,693
KZN273,N,IFP,11373,145
KZN273,P,IFP,11236,176
KZN274,N,IFP,56459,815
KZN274,P,IFP,56025,634
KZN275,N,ANC,16049,239
KZN275,P,ANC,15924,237
KZN281,N,ANC,43668,702
KZN281,P,ANC,43491,610
KZN282,N,ANC,122117,1262
KZN282,P,ANC,121130,1309
KZN283,N,IFP,23999,431
KZN283,P,IFP,23908,368
KZN284,N,ANC,72175,1198
KZN284,P,ANC,71975,1093
KZN285,N,IFP,15933,214
KZN285,P,IFP,15816,212
KZN286,N,ANC,35613,577
KZN286,P,ANC,35050,489
KZN291,N,ANC,47460,640
KZN291,P,ANC,47077,602
KZN292,N,ANC,73219,1061
KZN292,P,ANC,71496,992
KZN293,N,ANC,49996,980
KZN293,P,ANC,49850,930
KZN294,N,ANC,31327,499
KZN294,P,ANC,31167,485
KZN431,N,ANC,32159,470
KZN431,P,ANC,32004,396
KZN432,N,ANC,5301,94
KZN432,P,ANC,5083,92
